Species name,Family,Major group
Rosa sect. Cinnamomeae,,Angiosperm
Rosa sect. Laevigatae,,Angiosperm
Rosa sect. Microphyllae,,Angiosperm
Rosa sect. Pimpinellifoliae,,Angiosperm
Rosa sect. Synstylae,,Angiosperm
Rosa sericea,,Angiosperm
Rosa sertata,,Angiosperm
Rosa sertata var. multijuga,,Angiosperm
Rosa sertata var. sertata,,Angiosperm
Rosa setipoda,,Angiosperm
Rosa shangchengensis,,Angiosperm
Rosa sikangensis,,Angiosperm
Rosa sinobiflora,,Angiosperm
Rosa soulieana,,Angiosperm
Rosa soulieana var. microphylla,,Angiosperm
Rosa soulieana var. soulieana,,Angiosperm
Rosa soulieana var. sungpanensis,,Angiosperm
Rosa soulieana var. yunnanensis,,Angiosperm
Rosa spinosissima,,Angiosperm
Rosa spinosissima var. altaica,,Angiosperm
Rosa spinosissima var. spinosissima,,Angiosperm
Rosa subgen. Hulthemia,,Angiosperm
Rosa subgen. Rosa,,Angiosperm
Rosa sweginzowii,,Angiosperm
Rosa sweginzowii var. glandulosa,,Angiosperm
Rosa sweginzowii var. stevensii,,Angiosperm
Rosa sweginzowii var. sweginzowii,,Angiosperm
Rosa taiwanensis,,Angiosperm
Rosa taronensis,,Angiosperm
Rosa tibetica,,Angiosperm
Rosa transmorrisonensis,,Angiosperm
Rosa tsinglingensis,,Angiosperm
Rosa uniflorella,,Angiosperm
Rosa uniflorella subsp. adenopetala,,Angiosperm
Rosa webbiana,,Angiosperm
Rosa weisiensis,,Angiosperm
Rosa willmottiae,,Angiosperm
Rosa willmottiae var. glandulifera,,Angiosperm
Rosa willmottiae var. willmottiae,,Angiosperm
Rosa xanthina,,Angiosperm
Rosa zhongdianensis,,Angiosperm
Sibiraea angustata,,Angiosperm
Sibiraea laevigata,,Angiosperm
Sibiraea tomentosa,,Angiosperm
Sorbaria arborea,,Angiosperm
Sorbaria arborea var. arborea,,Angiosperm
Sorbaria arborea var. glabrata,,Angiosperm
Sorbaria arborea var. subtomentosa,,Angiosperm
Sorbaria kirilowii,,Angiosperm
Sorbaria sorbifolia,,Angiosperm
Sorbaria sorbifolia var. sorbifolia,,Angiosperm
Sorbaria sorbifolia var. stellipila,,Angiosperm
Sorbus albopilosa,,Angiosperm
Sorbus alnifolia,,Angiosperm
Sorbus alnifolia var. alnifolia,,Angiosperm
Sorbus alnifolia var. angulata,,Angiosperm
Sorbus alnifolia var. lobulata,,Angiosperm
Sorbus amabilis,,Angiosperm
Sorbus arguta,,Angiosperm
Sorbus aronioides,,Angiosperm
Sorbus astateria,,Angiosperm
Sorbus caloneura,,Angiosperm
Sorbus caloneura var. caloneura,,Angiosperm
Sorbus caloneura var. kwangtungensis,,Angiosperm
Sorbus coronata,,Angiosperm
Sorbus coronata var. ambrozyana,,Angiosperm
Sorbus coronata var. coronata,,Angiosperm
Sorbus coronata var. glabrescens,,Angiosperm
Sorbus corymbifera,,Angiosperm
Sorbus cuspidata,,Angiosperm
Sorbus discolor,,Angiosperm
Sorbus dunnii,,Angiosperm
Sorbus epidendron,,Angiosperm
Sorbus esserteauiana,,Angiosperm
Sorbus ferruginea,,Angiosperm
Sorbus filipes,,Angiosperm
Sorbus folgneri,,Angiosperm
Sorbus folgneri var. duplicatodentata,,Angiosperm
Sorbus folgneri var. folgneri,,Angiosperm
Sorbus foliolosa,,Angiosperm
Sorbus globosa,,Angiosperm
Sorbus glomerulata,,Angiosperm
Sorbus guanxianensis,,Angiosperm
Sorbus helenae,,Angiosperm
Sorbus helenae var. argutiserrata,,Angiosperm
Sorbus helenae var. helenae,,Angiosperm
Sorbus hemsleyi,,Angiosperm
Sorbus hupehensis,,Angiosperm
Sorbus hupehensis var. hupehensis,,Angiosperm
Sorbus hupehensis var. paucijuga,,Angiosperm
Sorbus insignis,,Angiosperm
Sorbus keissleri,,Angiosperm
Sorbus kiukiangensis,,Angiosperm
Sorbus kiukiangensis var. glabrescens,,Angiosperm
Sorbus kiukiangensis var. kiukiangensis,,Angiosperm
Sorbus koehneana,,Angiosperm
Sorbus lanpingensis,,Angiosperm
Sorbus macrantha,,Angiosperm
Sorbus medogensis,,Angiosperm
Sorbus megalocarpa,,Angiosperm
Sorbus megalocarpa var. cuneata,,Angiosperm
Sorbus megalocarpa var. megalocarpa,,Angiosperm
Sorbus meliosmifolia,,Angiosperm
Sorbus microphylla,,Angiosperm
Sorbus monbeigii,,Angiosperm
Sorbus multijuga,,Angiosperm
Sorbus obsoletidentata,,Angiosperm
Sorbus ochracea,,Angiosperm
Sorbus oligodonta,,Angiosperm
Sorbus pallescens,,Angiosperm
Sorbus pohuashanensis,,Angiosperm
Sorbus poteriifolia,,Angiosperm
Sorbus prattii,,Angiosperm
Sorbus prattii var. aestivalis,,Angiosperm
Sorbus prattii var. prattii,,Angiosperm
Sorbus pteridophylla,,Angiosperm
Sorbus pteridophylla var. pteridophylla,,Angiosperm
Sorbus pteridophylla var. tephroclada,,Angiosperm
Sorbus randaiensis,,Angiosperm
Sorbus reducta,,Angiosperm
Sorbus reducta var. pubescens,,Angiosperm
Sorbus reducta var. reducta,,Angiosperm
Sorbus rehderiana,,Angiosperm
Sorbus rehderiana var. cupreonitens,,Angiosperm
Sorbus rehderiana var. grosseserrata,,Angiosperm
Sorbus rehderiana var. rehderiana,,Angiosperm
Sorbus rhamnoides,,Angiosperm
Sorbus rhombifolia,,Angiosperm
Sorbus rufopilosa,,Angiosperm
Sorbus rufopilosa var. rufopilosa,,Angiosperm
Sorbus rufopilosa var. stenophylla,,Angiosperm
Sorbus salwinensis,,Angiosperm
Sorbus sargentiana,,Angiosperm
Sorbus scalaris,,Angiosperm
Sorbus setschwanensis,,Angiosperm
Sorbus subochracea,,Angiosperm
Sorbus tapashana,,Angiosperm
Sorbus thibetica,,Angiosperm
Sorbus thomsonii,,Angiosperm
Sorbus tianschanica,,Angiosperm
Sorbus tianschanica var. integrifoliolata,,Angiosperm
Sorbus tianschanica var. tianschanica,,Angiosperm
Sorbus tiantangensis,,Angiosperm
Sorbus tsinlingensis,,Angiosperm
Sorbus ursina,,Angiosperm
Sorbus ursina var. ursina,,Angiosperm
Sorbus ursina var. wenzigiana,,Angiosperm
Sorbus vilmorinii,,Angiosperm
Sorbus wilsoniana,,Angiosperm
Sorbus yuana,,Angiosperm
Sorbus yunnanensis,,Angiosperm
Sorbus zahlbruckneri,,Angiosperm
Sorbus zayuensis,,Angiosperm
Ulmus androssowii Litvinov var. subhirsuta,,Angiosperm
Ulmus bergmanniana,,Angiosperm
Ulmus bergmanniana var. bergmanniana,,Angiosperm
Ulmus bergmanniana var. lasiophylla,,Angiosperm
Ulmus castaneifolia,,Angiosperm
Ulmus changii,,Angiosperm
Ulmus changii var. changii,,Angiosperm
Ulmus changii var. kunmingensis,,Angiosperm
Ulmus chenmoui,,Angiosperm
Ulmus davidiana,,Angiosperm
Ulmus davidiana var. davidiana,,Angiosperm
Ulmus davidiana var. japonica,,Angiosperm
Ulmus elongata,,Angiosperm
Ulmus gaussenii,,Angiosperm
Ulmus glaucescens,,Angiosperm
Ulmus glaucescens var. glaucescens,,Angiosperm
Ulmus glaucescens var. lasiocarpa,,Angiosperm
Ulmus harbinensis,,Angiosperm
Ulmus laciniata,,Angiosperm
Ulmus lamellosa,,Angiosperm
Ulmus lanceifolia,,Angiosperm
Ulmus macrocarpa,,Angiosperm
Ulmus macrocarpa var. glabra,,Angiosperm
Ulmus macrocarpa var. macrocarpa,,Angiosperm
Ulmus mianzhuensis,,Angiosperm
Ulmus microcarpa,,Angiosperm
Ulmus parvifolia,,Angiosperm
Ulmus prunifolia,,Angiosperm
Ulmus pseudopropinqua,,Angiosperm
Ulmus pumila,,Angiosperm
Ulmus szechuanica,,Angiosperm
Ulmus uyematsui,,Angiosperm
Urtica angustifolia,,Angiosperm
Urtica ardens,,Angiosperm
Urtica atrichocaulis,,Angiosperm
Urtica cannabina,,Angiosperm
Urtica dioica,,Angiosperm
Urtica dioica subsp. afghanica,,Angiosperm
Urtica dioica subsp. dioica,,Angiosperm
Urtica dioica subsp. gansuensis,,Angiosperm
Urtica fissa,,Angiosperm
Urtica hyperborea,,Angiosperm
Urtica laetevirens,,Angiosperm
Urtica laetevirens subsp. cyanescens,,Angiosperm
Urtica laetevirens subsp. laetevirens,,Angiosperm
Urtica mairei,,Angiosperm
Urtica parviflora,,Angiosperm
Urtica taiwaniana,,Angiosperm
Urtica thunbergiana,,Angiosperm
Urtica triangularis,,Angiosperm
Urtica triangularis subsp. pinnatifida,,Angiosperm
Urtica triangularis subsp. triangularis,,Angiosperm
Urtica triangularis subsp. trichocarpa,,Angiosperm
Urtica urens,,Angiosperm
