Species name,Family,Major group
Cotoneaster glaucophyllus var. meiophyllus,,Angiosperm
Cotoneaster glaucophyllus var. serotinus,,Angiosperm
Cotoneaster glaucophyllus var. vestitus,,Angiosperm
Cotoneaster glomerulatus,,Angiosperm
Cotoneaster gracilis,,Angiosperm
Cotoneaster gracilis var. difficilis,,Angiosperm
Cotoneaster gracilis var. gracilis,,Angiosperm
Cotoneaster harrovianus,,Angiosperm
Cotoneaster harrysmithii,,Angiosperm
Cotoneaster hebephyllus,,Angiosperm
Cotoneaster hebephyllus var. fulvidus,,Angiosperm
Cotoneaster hebephyllus var. hebephyllus,,Angiosperm
Cotoneaster hebephyllus var. incanus,,Angiosperm
Cotoneaster hebephyllus var. majusculus,,Angiosperm
Cotoneaster horizontalis,,Angiosperm
Cotoneaster horizontalis var. horizontalis,,Angiosperm
Cotoneaster horizontalis var. perpusillus,,Angiosperm
Cotoneaster integerrimus,,Angiosperm
Cotoneaster langei,,Angiosperm
Cotoneaster melanocarpus,,Angiosperm
Cotoneaster microphyllus,,Angiosperm
Cotoneaster microphyllus var. cochleatus,,Angiosperm
Cotoneaster microphyllus var. glacialis,,Angiosperm
Cotoneaster microphyllus var. microphyllus,,Angiosperm
Cotoneaster microphyllus var. thymifolius,,Angiosperm
Cotoneaster mongolicus,,Angiosperm
Cotoneaster morrisonensis,,Angiosperm
Cotoneaster moupinensis,,Angiosperm
Cotoneaster multiflorus,,Angiosperm
Cotoneaster multiflorus var. atropurpureus,,Angiosperm
Cotoneaster multiflorus var. calocarpus,,Angiosperm
Cotoneaster multiflorus var. multiflorus,,Angiosperm
Cotoneaster nitens,,Angiosperm
Cotoneaster nitidifolius,,Angiosperm
Cotoneaster nitidus,,Angiosperm
Cotoneaster nitidus var. duthieanus,,Angiosperm
Cotoneaster nitidus var. nitidus,,Angiosperm
Cotoneaster nitidus var. parvifolius,,Angiosperm
Cotoneaster obscurus,,Angiosperm
Cotoneaster oliganthus,,Angiosperm
Cotoneaster pannosus,,Angiosperm
Cotoneaster pannosus var. pannosus,,Angiosperm
Cotoneaster pannosus var. robustior,,Angiosperm
Cotoneaster qungbixiensis,,Angiosperm
Cotoneaster reticulatus,,Angiosperm
Cotoneaster rhytidophyllus,,Angiosperm
Cotoneaster rosiflorus,,Angiosperm
Cotoneaster rotundifolius,,Angiosperm
Cotoneaster rubens,,Angiosperm
Cotoneaster rubens var. minimus,,Angiosperm
Cotoneaster rubens var. rubens,,Angiosperm
Cotoneaster salicifolius,,Angiosperm
Cotoneaster salicifolius var. angustus,,Angiosperm
Cotoneaster salicifolius var. henryanus,,Angiosperm
Cotoneaster salicifolius var. rugosus,,Angiosperm
Cotoneaster salicifolius var. salicifolius,,Angiosperm
Cotoneaster sanguineus,,Angiosperm
Cotoneaster schantungensis,,Angiosperm
Cotoneaster sherriffii,,Angiosperm
Cotoneaster silvestrii,,Angiosperm
Cotoneaster soongoricus,,Angiosperm
Cotoneaster soongoricus var. microcarpus,,Angiosperm
Cotoneaster soongoricus var. soongoricus,,Angiosperm
Cotoneaster spongbergii,,Angiosperm
Cotoneaster subadpressus,,Angiosperm
Cotoneaster submultiflorus,,Angiosperm
Cotoneaster taylorii,,Angiosperm
Cotoneaster tenuipes,,Angiosperm
Cotoneaster turbinatus,,Angiosperm
Cotoneaster uniflorus,,Angiosperm
Cotoneaster verruculosus,,Angiosperm
Cotoneaster wardii,,Angiosperm
Cotoneaster zabelii,,Angiosperm
Crataegus altaica,,Angiosperm
Crataegus aurantia,,Angiosperm
Crataegus chlorosarca,,Angiosperm
Crataegus chungtienensis,,Angiosperm
Crataegus cuneata,,Angiosperm
Crataegus cuneata var. cuneata,,Angiosperm
Crataegus cuneata var. tangchungchangii,,Angiosperm
Crataegus dahurica,,Angiosperm
Crataegus dahurica var. dahurica,,Angiosperm
Crataegus dahurica var. laevicalyx,,Angiosperm
Crataegus hupehensis,,Angiosperm
