Species name,Genus,Major group
Zingiber koshunense,Zingiber,Angiosperm
Zingiber laoticum,Zingiber,Angiosperm
Zingiber leptorrhizum,Zingiber,Angiosperm
Zingiber lingyunense,Zingiber,Angiosperm
Zingiber longiglande,Zingiber,Angiosperm
Zingiber longiligulatum,Zingiber,Angiosperm
Zingiber longyanjiang,Zingiber,Angiosperm
Zingiber menghaiense,Zingiber,Angiosperm
Zingiber mioga,Zingiber,Angiosperm
Zingiber monglaense,Zingiber,Angiosperm
Zingiber nanlingensis,Zingiber,Angiosperm
Zingiber neotruncatum,Zingiber,Angiosperm
Zingiber nigrimaculatum,Zingiber,Angiosperm
Zingiber nudicarpum,Zingiber,Angiosperm
Zingiber officinale,Zingiber,Angiosperm
Zingiber orbiculatum,Zingiber,Angiosperm
Zingiber paucipunctatum,Zingiber,Angiosperm
Zingiber pleiostachyum,Zingiber,Angiosperm
Zingiber recurvatum,Zingiber,Angiosperm
Zingiber roseum,Zingiber,Angiosperm
Zingiber simaoense,Zingiber,Angiosperm
Zingiber stipitatum,Zingiber,Angiosperm
Zingiber striolatum,Zingiber,Angiosperm
Zingiber teres,Zingiber,Angiosperm
Zingiber tuanjuum,Zingiber,Angiosperm
Zingiber wandingense,Zingiber,Angiosperm
Zingiber xishuangbannaense,Zingiber,Angiosperm
Zingiber yingjiangense,Zingiber,Angiosperm
Zingiber yunnanense,Zingiber,Angiosperm
Zingiber zerumbet,Zingiber,Angiosperm
Musa ×paradisiaca,Musa,Angiosperm
Musa acuminata,Musa,Angiosperm
Musa acuminata var. chinensis,Musa,Angiosperm
Musa balbisiana,Musa,Angiosperm
Musa basjoo,Musa,Angiosperm
Musa coccinea,Musa,Angiosperm
Musa formosana,Musa,Angiosperm
Musa insularimontana,Musa,Angiosperm
Musa itinerans,Musa,Angiosperm
Musa itinerans var. annamica,Musa,Angiosperm
Musa itinerans var. chinensis,Musa,Angiosperm
Musa itinerans var. guangdongensis,Musa,Angiosperm
Musa itinerans var. kavalanensis,Musa,Angiosperm
Musa itinerans var. lechangensis,Musa,Angiosperm
Musa itinerans var. xishuangbannaensis,Musa,Angiosperm
Musa rubra,Musa,Angiosperm
Musa sanguinea,Musa,Angiosperm
Musa textilis,Musa,Angiosperm
Musa yunnanensis,Musa,Angiosperm
Musa yunnanensis var. caii,Musa,Angiosperm
Musa yunnanensis var. jingdongensis,Musa,Angiosperm
Musa yunnanensis var. yongpingensis,Musa,Angiosperm
Musa zaifui,Musa,Angiosperm
Etlingera elatior,Etlingera,Angiosperm
Etlingera littoralis,Etlingera,Angiosperm
Etlingera yunnanensis,Etlingera,Angiosperm
Kaempferia candida,Kaempferia,Angiosperm
Kaempferia elegans,Kaempferia,Angiosperm
Kaempferia galanga,Kaempferia,Angiosperm
Kaempferia galanga var. galanga,Kaempferia,Angiosperm
Kaempferia galanga var. latifolia,Kaempferia,Angiosperm
Kaempferia marginata,Kaempferia,Angiosperm
Kaempferia rotunda,Kaempferia,Angiosperm
Kaempferia simaoensis,Kaempferia,Angiosperm
Amomum austrosinense,Amomum,Angiosperm
Amomum capsiciforme,Amomum,Angiosperm
Amomum chinense,Amomum,Angiosperm
Amomum compactum,Amomum,Angiosperm
Amomum coriandriodorum,Amomum,Angiosperm
Amomum dealbatum,Amomum,Angiosperm
Amomum dolichanthum,Amomum,Angiosperm
Amomum fragile,Amomum,Angiosperm
Amomum gagnepainii,Amomum,Angiosperm
Amomum glabrum,Amomum,Angiosperm
Amomum jingxiense,Amomum,Angiosperm
Amomum koenigii,Amomum,Angiosperm
Amomum kwangsiense,Amomum,Angiosperm
Amomum longiligulare,Amomum,Angiosperm
Amomum longipetiolatum,Amomum,Angiosperm
Amomum maximum,Amomum,Angiosperm
Amomum menglaense,Amomum,Angiosperm
Amomum mengtzense,Amomum,Angiosperm
Amomum microcarpum,Amomum,Angiosperm
Amomum muricarpum,Amomum,Angiosperm
Amomum neoaurantiacum,Amomum,Angiosperm
Amomum odontocarpum,Amomum,Angiosperm
Amomum paratsaoko,Amomum,Angiosperm
Amomum petaloideum,Amomum,Angiosperm
Amomum purpureorubrum,Amomum,Angiosperm
Amomum putrescens,Amomum,Angiosperm
Amomum quadratolaminare,Amomum,Angiosperm
Amomum repoeense,Amomum,Angiosperm
Amomum scarlatinum,Amomum,Angiosperm
Amomum sericeum,Amomum,Angiosperm
Amomum subcapitatum,Amomum,Angiosperm
Amomum subulatum,Amomum,Angiosperm
Amomum thysanochililum,Amomum,Angiosperm
Amomum tsaoko,Amomum,Angiosperm
Amomum tuberculatum,Amomum,Angiosperm
Amomum verrucosum,Amomum,Angiosperm
Amomum villosum,Amomum,Angiosperm
Amomum villosum var. villosum,Amomum,Angiosperm
Amomum villosum var. xanthioides,Amomum,Angiosperm
Amomum yingjiangense,Amomum,Angiosperm
Amomum yunnanense,Amomum,Angiosperm
Boesenbergia albomaculata,Boesenbergia,Angiosperm
Boesenbergia longiflora,Boesenbergia,Angiosperm
Boesenbergia rotunda,Boesenbergia,Angiosperm
Globba barthei,Globba,Angiosperm
Globba chekiangensis,Globba,Angiosperm
Globba emeiensis,Globba,Angiosperm
Globba lancangensis,Globba,Angiosperm
Globba menglianensis,Globba,Angiosperm
Globba racemosa,Globba,Angiosperm
Globba schomburgkii,Globba,Angiosperm
Globba schomburgkii var. angustata,Globba,Angiosperm
Globba schomburgkii var. schomburgkii,Globba,Angiosperm
Hornstedtia hainanensis,Hornstedtia,Angiosperm
Hornstedtia tibetica,Hornstedtia,Angiosperm
Plagiostachys austrosinensis,Plagiostachys,Angiosperm
