Species name,Family,Major group
Hedychium tienlinense,,Angiosperm
Hedychium villosum,,Angiosperm
Hedychium villosum var. tenuiflorum,,Angiosperm
Hedychium villosum var. villosum,,Angiosperm
Hedychium ximengense,,Angiosperm
Hedychium yungjiangense,,Angiosperm
Hedychium yunnanense,,Angiosperm
Hornstedtia hainanensis,,Angiosperm
Hornstedtia tibetica,,Angiosperm
Kaempferia candida,,Angiosperm
Kaempferia elegans,,Angiosperm
Kaempferia galanga,,Angiosperm
Kaempferia galanga var. galanga,,Angiosperm
Kaempferia galanga var. latifolia,,Angiosperm
Kaempferia marginata,,Angiosperm
Kaempferia rotunda,,Angiosperm
Kaempferia simaoensis,,Angiosperm
Plagiostachys austrosinensis,,Angiosperm
Zingiber atrorubens,,Angiosperm
Zingiber bisectum,,Angiosperm
Zingiber cochleariforme,,Angiosperm
Zingiber corallinum,,Angiosperm
Zingiber densissimum,,Angiosperm
Zingiber ellipticum,,Angiosperm
Zingiber flavomaculosum,,Angiosperm
Zingiber fragile,,Angiosperm
Zingiber guangxiense,,Angiosperm
Zingiber gulinense,,Angiosperm
Zingiber integrilabrum,,Angiosperm
Zingiber integrum,,Angiosperm
Zingiber kawagoi,,Angiosperm
Zingiber koshunense,,Angiosperm
Zingiber laoticum,,Angiosperm
Zingiber leptorrhizum,,Angiosperm
Zingiber lingyunense,,Angiosperm
Zingiber longiglande,,Angiosperm
Zingiber longiligulatum,,Angiosperm
Zingiber longyanjiang,,Angiosperm
Zingiber menghaiense,,Angiosperm
Zingiber mioga,,Angiosperm
Zingiber monglaense,,Angiosperm
Zingiber nanlingensis,,Angiosperm
Zingiber neotruncatum,,Angiosperm
Zingiber nigrimaculatum,,Angiosperm
Zingiber nudicarpum,,Angiosperm
Zingiber officinale,,Angiosperm
Zingiber orbiculatum,,Angiosperm
Zingiber paucipunctatum,,Angiosperm
Zingiber pleiostachyum,,Angiosperm
Zingiber recurvatum,,Angiosperm
Zingiber roseum,,Angiosperm
Zingiber simaoense,,Angiosperm
Zingiber stipitatum,,Angiosperm
Zingiber striolatum,,Angiosperm
Zingiber teres,,Angiosperm
Zingiber tuanjuum,,Angiosperm
Zingiber wandingense,,Angiosperm
Zingiber xishuangbannaense,,Angiosperm
Zingiber yingjiangense,,Angiosperm
Zingiber yunnanense,,Angiosperm
Zingiber zerumbet,,Angiosperm
