Species name,Genus,Major group
Corylus ferox var. thibetica,Corylus,Angiosperm
Corylus heterophylla,Corylus,Angiosperm
Corylus heterophylla var. heterophylla,Corylus,Angiosperm
Corylus heterophylla var. sutchuanensis,Corylus,Angiosperm
Corylus mandshurica,Corylus,Angiosperm
Corylus wangii,Corylus,Angiosperm
Corylus yunnanensis,Corylus,Angiosperm
Amorphophallus albus,Amorphophallus,Angiosperm
Amorphophallus coaetaneus,Amorphophallus,Angiosperm
Amorphophallus corrugatus,Amorphophallus,Angiosperm
Amorphophallus dunnii,Amorphophallus,Angiosperm
Amorphophallus hayi,Amorphophallus,Angiosperm
Amorphophallus henryi,Amorphophallus,Angiosperm
Amorphophallus hirtus,Amorphophallus,Angiosperm
Amorphophallus kachinensis,Amorphophallus,Angiosperm
Amorphophallus kiusianus,Amorphophallus,Angiosperm
Amorphophallus konjac,Amorphophallus,Angiosperm
Amorphophallus krausei,Amorphophallus,Angiosperm
Amorphophallus paeoniifolius,Amorphophallus,Angiosperm
Amorphophallus tonkinensis,Amorphophallus,Angiosperm
Amorphophallus xiei,Amorphophallus,Angiosperm
Amorphophallus yuloensis,Amorphophallus,Angiosperm
Amorphophallus yunnanensis,Amorphophallus,Angiosperm
Rhaphidophora crassicaulis,Rhaphidophora,Angiosperm
Rhaphidophora decursiva,Rhaphidophora,Angiosperm
Rhaphidophora dulongensis,Rhaphidophora,Angiosperm
Rhaphidophora glauca,Rhaphidophora,Angiosperm
Rhaphidophora hongkongensis,Rhaphidophora,Angiosperm
Rhaphidophora hookeri,Rhaphidophora,Angiosperm
Rhaphidophora laichauensis,Rhaphidophora,Angiosperm
Rhaphidophora lancifolia,Rhaphidophora,Angiosperm
Rhaphidophora liukiuensis,Rhaphidophora,Angiosperm
Rhaphidophora luchunensis,Rhaphidophora,Angiosperm
Rhaphidophora megaphylla,Rhaphidophora,Angiosperm
Rhaphidophora peepla,Rhaphidophora,Angiosperm
Cupressus arizonica,Cupressus,Angiosperm
Cupressus chengiana,Cupressus,Angiosperm
Cupressus chengiana var. chengiana,Cupressus,Angiosperm
Cupressus chengiana var. jiangeensis,Cupressus,Angiosperm
Cupressus duclouxiana,Cupressus,Angiosperm
Cupressus funebris,Cupressus,Angiosperm
Cupressus gigantea,Cupressus,Angiosperm
Cupressus goveniana,Cupressus,Angiosperm
Cupressus lusitanica,Cupressus,Angiosperm
Cupressus sempervirens,Cupressus,Angiosperm
Cupressus torulosa,Cupressus,Angiosperm
Podocarpus annamiensis,Podocarpus,Angiosperm
Podocarpus costalis,Podocarpus,Angiosperm
Podocarpus forrestii,Podocarpus,Angiosperm
Podocarpus macrophyllus,Podocarpus,Angiosperm
Podocarpus macrophyllus var. angustifolius,Podocarpus,Angiosperm
Podocarpus macrophyllus var. chingii,Podocarpus,Angiosperm
Podocarpus macrophyllus var. macrophyllus,Podocarpus,Angiosperm
Podocarpus macrophyllus var. maki,Podocarpus,Angiosperm
Podocarpus macrophyllus var. piliramulus,Podocarpus,Angiosperm
Podocarpus nakaii,Podocarpus,Angiosperm
Podocarpus neriifolius,Podocarpus,Angiosperm
Podocarpus wangii,Podocarpus,Angiosperm
Juniperus baimashanensis,Juniperus,Angiosperm
Juniperus centrasiatica,Juniperus,Angiosperm
Juniperus chengii,Juniperus,Angiosperm
Juniperus chinensis,Juniperus,Angiosperm
Juniperus chinensis var. chinensis,Juniperus,Angiosperm
Juniperus chinensis var. sargentii,Juniperus,Angiosperm
Juniperus chinensis var. tsukusiensis,Juniperus,Angiosperm
Juniperus convallium,Juniperus,Angiosperm
