internalTaxonId,scientificName,kingdomName,phylumName,className,orderName,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
117309770,Curcuma purpurascens,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ZINGIBERALES,ZINGIBERACEAE,Curcuma,purpurascens,,,,,Blume,
117310843,Curcuma sylvatica,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ZINGIBERALES,ZINGIBERACEAE,Curcuma,sylvatica,,,,,Valeton,
117311004,Curcuma viridiflora,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ZINGIBERALES,ZINGIBERACEAE,Curcuma,viridiflora,,,,,Roxb.,
117311046,Curcuma zedoaria,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ZINGIBERALES,ZINGIBERACEAE,Curcuma,zedoaria,,,,,(Christm.) Roscoe,
117316982,Etlingera apus-hang,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ZINGIBERALES,ZINGIBERACEAE,Etlingera,apus-hang,,,,,C.K.Lim,This species is closely related to <em>Etlingera metriocheilos</em> (Griff.) R.M.Sm. (which has already been assessed as LC) and further studies will have to reveal if this taxon should be recognised and at what taxonomic rank (A.D. Poulsen pers. comm. 2020).
117318812,Etlingera diepenhorstii,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ZINGIBERALES,ZINGIBERACEAE,Etlingera,diepenhorstii,,,,,(Teijsm. &amp; Binn.) R.M.Sm.,"Although this species is believed to be a synonym of <em>Etlingera fulgens</em> by some (A.D. Poulsen pers. comm. 2020), it is accepted as a valid separated species for the purposes of this assessment."
117319229,Etlingera fulgens,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ZINGIBERALES,ZINGIBERACEAE,Etlingera,fulgens,,,,,(Ridl.) C.K.Lim,"Although currently accepted as valid species in POWO (2020), <em>Etlingera fulgens</em> is for some still a part of the <em>E. hemisphaerica</em> complex.<br/><br/>On the other hand, <em>E. fulgens</em>, is also is believed to be in synonymy with&#160;<em>E.&#160;diepenhorstii</em>&#160;according to&#160;A.D. Poulsen (pers. comm. 2020).<br/><br/>For the purposes of this assessment,&#160;<em>E. fulgens</em>&#160;is accepted here as a valid separated species."
117324809,Etlingera sericea,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ZINGIBERALES,ZINGIBERACEAE,Etlingera,sericea,,,,,(Ridl.) R.M.Sm.,
117325362,Etlingera valida,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ZINGIBERALES,ZINGIBERACEAE,Etlingera,valida,,,,,(K.Schum.) A.D.Poulsen,
117325529,Etlingera walang,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ZINGIBERALES,ZINGIBERACEAE,Etlingera,walang,,,,,(Blume) R.M.Sm.,
117326208,Geocharis aurantiaca,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ZINGIBERALES,ZINGIBERACEAE,Geocharis,aurantiaca,,,,,Ridl.,
117326326,Geocharis macrostemon,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ZINGIBERALES,ZINGIBERACEAE,Geocharis,macrostemon,,,,,(K.Schum.) Holttum,
117326936,Geostachys angustifolia,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ZINGIBERALES,ZINGIBERACEAE,Geostachys,angustifolia,,,,,K.Larsen,
117327020,Geostachys annamensis,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ZINGIBERALES,ZINGIBERACEAE,Geostachys,annamensis,,,,,Ridl.,
