internalTaxonId,scientificName,kingdomName,phylumName,className,orderName,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
20678397,Pistacia weinmanniifolia,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SAPINDALES,ANACARDIACEAE,Pistacia,weinmanniifolia,,,,,J.Poiss. ex Franch.,"In the literature, spelling of this species varies between <em>Pistacia&#160;</em><em>weinmannifolia </em>and <em>P. weinmanniifolia, </em>the latter of which is in accordance with the&#160;<span style=""background-color: rgb(255, 255, 255);"">Melbourne edition of the International Code of Nomenclature (</span>ICN)<span style=""background-color: rgb(255, 255, 255);"">&#160;Art. 60.8 and Rec. 60G (USDA, ARS, National Genetic Resources Program 2013).<br/></span><span style=""background-color: rgb(255, 255, 255);""><br/>This species is a secondary genetic&#160;relative of&#160;cultivated Pistachio <em>P. vera</em> L.</span>"
44393652,Fargesia albocerea,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,POACEAE,Fargesia,albocerea,,,,,Hsueh & T.P.Yi,
44393651,Carex motuoensis,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,CYPERACEAE,Carex,motuoensis,,,,,Y.C.Yang,
44392932,Fargesia mairei,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,POACEAE,Fargesia,mairei,,,,,(Hack. ex Hand.-Mazz.) T.P.Yi,
50025801,Amygdalus mira,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ROSALES,ROSACEAE,Amygdalus,mira,,,,,(Koehne) Ricker,"<em>Amygdalus mira</em> (Koehne) Ricker is a synonym of <em>Prunus mira </em>Koehne. This species is a primary genetic relative of Peach (<em>Prunus persica</em> (L.) Batsch) and a secondary genetic relative of Almond (<em>Prunus dulcis</em> (Mill.) D.A.Webb) (USDA ARS, National Genetic Resources Program 2013)."
50026548,Armeniaca mume,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ROSALES,ROSACEAE,Armeniaca,mume,,,,,Siebold,"<em>Armeniaca mume</em> Siebold is a synonym of <em>Prunus mume</em> Siebold &amp; Zucc.<br/><br/>The species is a secondary genetic relative of Apricot <em>Prunus armeniaca</em> L. (USDA, ARS, National Genetic Resources Program 2013)."
50049673,Malus ombrophila,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ROSALES,ROSACEAE,Malus,ombrophila,,,,,Hand.-Mazz.,<em>Malus ombrophila </em>Hand.-Mazz. belongs to the secondary Gene Pool of cultivated Apple <em>M. domestica</em> Borkh.
50050112,Malus prattii,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ROSALES,ROSACEAE,Malus,prattii,,,,,(Hemsl.) C.K.Schneid.,<em>Malus prattii</em> (Hemsl.) C.K.Schneid. belongs to the secondary Gene Pool of cultivated Apple <em>M. domestica</em> Borkh.
50050135,Malus prunifolia,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ROSALES,ROSACEAE,Malus,prunifolia,,,,,(Willd.) Borkh.,<em>Malus prunifolia </em>(Willd.) Borkh. belongs to the secondary Gene Pool of cultivated Apple <em>M. domestica</em> Borkh.
50050991,Malus spectabilis,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ROSALES,ROSACEAE,Malus,spectabilis,,,,,(Aiton) Borkh.,<em>Malus spectabilis</em> (Aiton) Borkh. belongs to the secondary Gene Pool of <em>M. domestica</em> Borkh.
50085956,Malus toringoides,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ROSALES,ROSACEAE,Malus,toringoides,,,,,(Rehder) Hughes,<em>Malus toringoides</em> (Rehder) Hughes belongs to the secondary Gene Pool of cultivated Apple <em>M. domestica</em> Borkh.
50086205,Malus transitoria,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ROSALES,ROSACEAE,Malus,transitoria,,,,,(Batalin) C.K.Schneid.,<em>Malus transitoria</em> (Batalin) C.K.Schneid. belongs to the secondary Gene Pool of cultivated Apple <em>M. domestica</em> Borkh.
50132808,Malus yunnanensis,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ROSALES,ROSACEAE,Malus,yunnanensis,,,,,(Franch.) C.K.Schneid.,<em>Malus yunnanensis</em> (Franch.) C.K. Schneid. belongs to the secondary Gene Pool of <em>M. domestica</em> Borkh.
50028083,Cerasus glandulosa,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ROSALES,ROSACEAE,Cerasus,glandulosa,,,,,(Thunb.) Sokoloff,"<em>Cerasus glandulosa</em> (Thunb.) Sokoloff is a synonym of <em>Prunus glandulosa</em> Thunb.<br/><br/>This species is a tertiary genetic relative of Myrobalan Plum (<em>Prunus cerasifera</em> Ehrh.) and Japanese Plum (<em>Prunus salicina</em> Lindl.) (USDA, ARS, National Genetic Resources Program 2013)."
50028400,Cerasus pleiocerasus,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ROSALES,ROSACEAE,Cerasus,pleiocerasus,,,,,(Koehne) T.T.Yu &amp; C.L.Li,"<em>Cerasus pleiocerasus</em> T.T.Yu &amp; C.L.Li is a synonym of <em>Prunus pleiocerasus</em> Koehne.<br/><br/>This species is a secondary genetic relative of Sweet Cherry (<em>Prunus avium</em> (L.) L.) (USDA, ARS, National Genetic Resources Program 2013)."
50050877,Malus sikkimensis,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ROSALES,ROSACEAE,Malus,sikkimensis,,,,,(Wenz.) Koehne,<em>Malus sikkimensis</em> (Wenz.) Koehne belongs to the secondary Gene Pool of cultivated Apple <em>M. domestica</em> Borkh.
61854418,Malus doumeri,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ROSALES,ROSACEAE,Malus,doumeri,,,,,(Bois) A.Chev.,"<em>Malus doumeri</em> (Bois) A.Chev. belongs to the tertiary Gene Pool of cultivated Apple <em>M. domestica</em> Borkh. (USDA, ARS, National Genetic Resources Program 2013)."
61855188,Malus halliana,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ROSALES,ROSACEAE,Malus,halliana,,,,,Koehne,<em>Malus halliana</em> Koehne belongs to the secondary Gene Pool of cultivated Apple <em>M. domestica</em> Borkh.
61859241,Camellia grandibracteata,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ERICALES,THEACEAE,Camellia,grandibracteata,,,,,Hung T.Chang &amp; F.L.Yu,<p>There is some speculation that this species is the result of spontaneous hybridization or introgression in tea gardens (Dongwei Zhao pers. comm. 2015).</p>
61960227,Salix babylonica,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALPIGHIALES,SALICACEAE,Salix,babylonica,,,,,L.,
